passage,mouse_id,library_id,treatmentSt,batch_info
X3,SA609X3XB01584,TENX063,U,CHIP0063_SA
X4,SA609X4XB03080,TENX068,UU,CHIP0068_SA
X4,SA609X4XB03083,TENX069,UT,CHIP0069_SA
X4,SA609X4XB03084,SCRNA10X_SA_CHIP0181_001,UT,CHIP0181
X5,SA609X5XB03235,SCRNA10X_SA_CHIP0181_002,UTT,CHIP0181
X5,SA609X5XB03230,SCRNA10X_SA_CHIP0150_001,UTT,CHIP0150
X5,SA609X5XB03231,SCRNA10X_SA_CHIP0150_002,UTU,CHIP0150
X5,SA609X5XB03223,SCRNA10X_SA_CHIP0146_002,UUU,CHIP0146
X6,SA609X6XB03401,SCRNA10X_SA_CHIP0152_001,UTTU,CHIP0152
X6,SA609X6XB03404,SCRNA10X_SA_CHIP0152_002,UTTT,CHIP0152
X7,SA609X6XB03447,SCRNA10X_SA_CHIP0172_001,UUUU,CHIP0172
X7,SA609X7XB03510,SCRNA10X_SA_CHIP0163_002,UTTTU,CHIP0163
X7,SA609X7XB03505,SCRNA10X_SA_CHIP0163_001,UTTTT,CHIP0163
X7,SA609X7XB03554,SCRNA10X_SA_CHIP0172_002,UUUUU,CHIP0172
X7,SA609X7XB03573,SCRNA10X_SA_CHIP0208_001,UTTTT,CHIP0208